"Save and Continue Edit","Save and Continue Edit"
"Delete Blacklist","Delete Blacklist"
"Edit Blacklist '%1'","Edit Blacklist '%1'"
"New Blacklist","New Blacklist"
"Blacklist Information","Blacklist Information"
"View message","View message"
"View form profile","View form profile"
"IP address","IP address"
"Email address","Email address"
"Form Id","Form Id"
"Message Id","Message Id"
Note,Note
Status,Status
"Form Profile","Form Profile"
Message,Message
"Created At","Created At"
Forms,Forms
"Add New Form","Add New Form"
"Export Messages to CSV","Export Messages to CSV"
"Delete Form","Delete Form"
"Edit Form '%1'","Edit Form '%1'"
"New Form","New Form"
"Save Form","Save Form"
"Save & New","Save & New"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
"Success Message","Success Message"
"Before Form Content","Before Form Content"
"After Form Content","After Form Content"
"Thank you for your message. It has been sent.","Thank you for your message. It has been sent."
"Form Content","Form Content"
"Form Creator","Form Creator"
Design,Design
"Page Layout","Page Layout"
"Custom XML","Custom XML"
Css,Css
"Submit Text Color","Submit Text Color"
minicolors,minicolors
"Submit Background Color","Submit Background Color"
"Submit Hover Color","Submit Hover Color"
"Input Hover Color","Input Hover Color"
"Form Information","Form Information"
"Form Title","Form Title"
Identifier,Identifier
"Receive Notification","Receive Notification"
"If you use multiple separate by comma. Note: when sending to many email the load time will increase","If you use multiple separate by comma. Note: when sending to many email the load time will increase"
"%1 (Default)","%1 (Default)"
"Email Message Template","Email Message Template"
"Thankyou Field","Thankyou Field"
"After submitting form successfully. A ""thank you"" email automatically send to thank you field in which customers have just submitted","After submitting form successfully. A ""thank you"" email automatically send to thank you field in which customers have just submitted"
"Thankyou Email Template","Thankyou Email Template"
"Sender Email Field","Sender Email Field"
"Choose the sender email field to allow module send email from the email address field on the form, it will override the default sender on module settings. Empty to use default sender on module settings.","Choose the sender email field to allow module send email from the email address field on the form, it will override the default sender on module settings. Empty to use default sender on module settings."
"Sender Name Field","Sender Name Field"
"Choose the sender name field to allow module send name from the name field on the form, it will override the default sender on module settings. Empty to use default sender on module settings.","Choose the sender name field to allow module send name from the name field on the form, it will override the default sender on module settings. Empty to use default sender on module settings."
"Submit Button Text","Submit Button Text"
"Redirect Link","Redirect Link"
"Show reCaptcha","Show reCaptcha"
"Show on TopLink","Show on TopLink"
"Customer Groups","Customer Groups"
"Store View","Store View"
"Custom Template","Custom Template"
"Example: form/view.phtml, form/view2.phtml","Example: form/view.phtml, form/view2.phtml"
"Click here","Click here"
ID,ID
Action,Action
SEO,SEO
"Page Title","Page Title"
Keywords,Keywords
"Meta Keywords","Meta Keywords"
Description,Description
"Meta Description","Meta Description"
Messages,Messages
Save,Save
"Manage Forms","Manage Forms"
"Manage Messages","Manage Messages"
"Manage Models","Manage Models"
"Manage Model Categories","Manage Model Categories"
"Manage Blacklist","Manage Blacklist"
"Manage Replies","Manage Replies"
Settings,Settings
Guide,Guide
"Get Support","Get Support"
"Delete Message","Delete Message"
"Edit Message '%1'","Edit Message '%1'"
"New Message","New Message"
"Client Information","Client Information"
"IP Address","IP Address"
"Referring Page","Referring Page"
"Host Name","Host Name"
"User Agent","User Agent"
"Reply Email","Reply Email"
"<div style=""font-weight: bold;padding: 20px 0;"">Create At: %1</div>","<div style=""font-weight: bold;padding: 20px 0;"">Create At: %1</div>"
"Message Information","Message Information"
Models,Models
"Add New Model","Add New Model"
"Save Model","Save Model"
"Delete Model","Delete Model"
"Edit Model '%1'","Edit Model '%1'"
"New Model","New Model"
"Model Information","Model Information"
"Model Title","Model Title"
"-- Select a Parent --","-- Select a Parent --"
Parent,Parent
"-- Select a Category --","-- Select a Category --"
Category,Category
Position,Position
"Model Categories","Model Categories"
"Add New Catgory","Add New Catgory"
"Save Category","Save Category"
"Delete Category","Delete Category"
"Edit Category '%1'","Edit Category '%1'"
"New Category","New Category"
"Category Information","Category Information"
Name,Name
"Please select","Please select"
Home,Home
"Go to Home Page","Go to Home Page"
FormBuilder,FormBuilder
Form,Form
Blacklist,Blacklist
"Don't have data to save.","Don't have data to save."
"You saved the blacklist.","You saved the blacklist."
"Have problem when save the blacklist.","Have problem when save the blacklist."
"The ip or email was added to blocklist.","The ip or email was added to blocklist."
"You deleted the blacklist.","You deleted the blacklist."
"We can't find a blacklist to delete.","We can't find a blacklist to delete."
"This blacklist no longer exists.","This blacklist no longer exists."
"Edit Blacklist","Edit Blacklist"
"Black list","Black list"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Missing email or ip. You should input one of them.","Missing email or ip. You should input one of them."
"You deleted the form.","You deleted the form."
"We can't find a form to delete.","We can't find a form to delete."
"This form no longer exists.","This form no longer exists."
"Edit Form","Edit Form"
"Please correct the data sent.","Please correct the data sent."
"You saved the form.","You saved the form."
"You duplicated this form.","You duplicated this form."
"Something went wrong while duplicating the form.","Something went wrong while duplicating the form."
"You saved the reply message.","You saved the reply message."
"Have problem when save the reply message.","Have problem when save the reply message."
"Email was successfully sent.","Email was successfully sent."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"You deleted the message.","You deleted the message."
"We can't find a message to delete.","We can't find a message to delete."
"This message no longer exists.","This message no longer exists."
"Edit Message","Edit Message"
"You saved the message.","You saved the message."
"You deleted the model.","You deleted the model."
"We can't find a model to delete.","We can't find a model to delete."
"This model no longer exists.","This model no longer exists."
"Edit Model","Edit Model"
Model,Model
"You saved the model.","You saved the model."
Modelcategory,Modelcategory
"You deleted the category.","You deleted the category."
"We can't find a category to delete.","We can't find a category to delete."
"This category no longer exists.","This category no longer exists."
"Edit Category","Edit Category"
Categories,Categories
"You saved the category.","You saved the category."
Reply,Reply
"You deleted the replies.","You deleted the replies."
"We can't find a replies to delete.","We can't find a replies to delete."
"Message Reply list","Message Reply list"
"Select a option","Select a option"
